,token,tag
24562,دنیا,O
24563,(,O
24564,بلک,O
24565,ماریا,O
24566,در,O
24567,ایالت,B-LOC
24568,نیوجرسی,I-LOC
24569,است,O
24570,.,O
24571,توماس,B-PER
24572,ادیسون,I-PER
24573,بیان,O
24574,کرده‌بود,O
24575,که,O
24576,به,O
24577,خدای,O
24578,متکلمین,O
24579,اعتقاد,O
24580,ندارد,O
24581,و,O
24582,آنچه,O
24583,که,O
24584,دیگران,O
24585,خدا,O
24586,می‌خوانند,O
24587,را,O
24588,طبیعت,O
24589,می‌نامد,O
24590,ولی,O
24591,قائل,O
24592,به,O
24593,وجود,O
24594,یک,O
24595,دانشمند,O
24596,بلندمرتبه,O
24597,است,O
24598,و,O
24599,شکی,O
24600,در,O
24601,وجود,O
24602,آن,O
24603,ندارد,O
24604,همچنین,O
24605,وی,O
24606,ادیان,O
24607,را,O
24608,کاملا,O
24609,پوچ,O
24610,و,O
24611,توهم,O
24612,خوانده‌بود,O
24613,.,O
24614,در,B-DAT
24615,اول,I-DAT
24616,فوریه,I-DAT
24617,۱۸۹۳,I-DAT
24618,ادیسون,O
24619,ساختمان,O
24620,بلک,B-LOC
24621,ماریا,O
24622,نخستین,O
24623,استودیوی,O
24624,تصاویر,O
24625,متحرک,O
24626,را,O
24627,در,O
24628,اورنج,B-LOC
24629,غربی,I-LOC
24630,،,I-LOC
24631,نیوجرسی,I-LOC
24632,به,O
24633,پایان,O
24634,برد,O
24635,.,O
24636,در,B-DAT
24637,سال,I-DAT
24638,۱۸۹۴,I-DAT
24639,او,O
24640,در‌زمینه,O
24641,ترکیب,O
24642,فیلم,O
24643,و,O
24644,صدا,O
24645,تحقیقاتی,O
24646,انجام,O
24647,داد,O
24648,که,O
24649,سرانجام,O
24650,به,O
24651,اختراع,O
24652,کینه‌توفون,O
24653,انجامید,O
24654,.,O
24655,در,B-DAT
24656,۶,I-DAT
24657,ژانویه,I-DAT
24658,۱۹۳۱,I-DAT
24659,ادیسون,O
24660,درخواست‌نامه,O
24661,ثبت,O
24662,آخرین,O
24663,اختراع,O
24664,خود,O
24665,وسیله,O
24666,نگه‌دارنده,O
24667,اشیاء,O
24668,هنگام,O
24669,آبکاری,O
24670,الکتریکی,O
24671,را,O
24672,به,O
24673,اداره,O
24674,ثبت,O
24675,اختراعات,O
24676,فرستاد,O
24677,اما,O
24678,پیش,O
24679,از,O
24680,دریافت,O
24681,پاسخ,O
24682,،,O
24683,اجل,O
24684,به,O
24685,او,O
24686,مهلت,O
24687,نداد,O
24688,و,O
24689,این,O
24690,مخترع,O
24691,بزرگ,O
24692,در,O
24693,اواخر,O
24694,همان,O
24695,سال,B-DAT
24696,در,O
24697,سن,O
24698,۸۴,B-DAT
24699,سالگی,I-DAT
24700,چشم,O
24701,از,O
24702,جهان,O
24703,فروبست,O
24704,.,O
24705,زبان‌ها,O
24706,در,O
24707,گروه‌هایی,O
24708,بهنام,O
24709,خانواده,B-ORG
24710,زبانی,I-ORG
24711,طبقه‌بندی,O
24712,می‌شوند,O
24713,.,O
24714,زبان‌های,O
24715,هندواروپایی,O
24716,پرگویشورترین,O
24717,خانواده,B-ORG
24718,زبانی,I-ORG
24719,در,O
24720,دنیای,O
24721,امروز,O
24722,است,O
24723,که,O
24724,زبان,O
24725,فارسی,O
24726,نیز,O
24727,به,O
24728,آن,O
24729,تعلق,O
24730,دارد,O
24731,.,O
24732,خانواده‌های,O
24733,زبان‌های,O
24734,آفروآسیایی,O
24735,شامل,O
24736,زبان‌های,O
24737,سامی,O
24738,زبان‌های,O
24739,آلتایی,O
24740,زبان‌های,O
24741,چینی,O
24742,تبتی,O
24743,و,O
24744,زبان‌های,O
24745,بانتو,O
24746,از,O
24747,دیگر,O
24748,خانواده‌های,O
24749,مهم,O
24750,زبانی,O
24751,هستند,O
24752,.,O
24753,مجموعه,O
24754,نشانه‌ها,O
24755,در,B-DAT
24756,طول,I-DAT
24757,زمان,I-DAT
24758,مفهومی,O
24759,در,O
24760,ذهن,O
24761,انسان,O
24762,شکل,O
24763,می‌دهد,O
24764,.,O
24765,در,O
24766,تجزیه,O
24767,بار,O
24768,نخست,O
24769,کلام,O
24770,را,O
24771,می‌توان,O
24772,به,O
24773,واحدهای,O
24774,معنایی,O
24775,کوچک‌تر,O
24776,و,O
24777,به,O
24778,بیان,O
24779,دقیق‌تر,O
24780,از,O
24781,لحاظ,O
24782,معنایی,O
24783,بسیط,O
24784,تجزیه,O
24785,کرد,O
24786,.,O
24787,در,O
24788,مرحله,O
24789,دوم,B-DAT
24790,هر,I-DAT
24791,تک‌واژ,O
24792,را,O
24793,می‌توان,O
24794,به,O
24795,واحدهای,O
24796,کوچک‌تر,O
24797,آوایی,O
24798,تقسیم,O
24799,کرد,O
24800,که,O
24801,از,O
24802,لحاظ,O
24803,کاربرد,O
24804,آوایی,O
24805,بسیط‌اند,O
24806,و,O
24807,از,O
24808,نظر,O
24809,معنایی,O
24810,فاقد,O
24811,معنا,O
24812,.,O
24813,زمانی,O
24814,رسید,O
24815,که,O
24816,مردم,O
24817,برای,O
24818,ارتباط,O
24819,با,O
24820,یکدیگر,O
24821,و,O
24822,انجام,O
24823,تجارت,O
24824,و,O
24825,خرید‌و‌فروش,O
24826,کالا,O
24827,به,O
24828,یک‌زبان,O
24829,واحد,O
24830,نیاز,O
24831,پیدا,O
24832,کردند,O
24833,و,O
24834,تصمیم,O
24835,گرفتند,O
24836,زبان,O
24837,انگلیسی,O
24838,را,O
24839,به,O
24840,عنوان,O
24841,زبان,O
24842,بین‌المللی,O
24843,معرفی,O
24844,کنند,O
24845,.,O
24846,به,O
24847,خاطر,O
24848,نفوذ,O
24849,بریتانیا,B-LOC
24850,و,O
24851,آمریکایی‌,O
24852,ها,O
24853,در,O
24854,دنیا,O
24855,تصمیم,O
24856,بر,O
24857,این,O
24858,شد,O
24859,که,O
24860,انگلیسی,O
24861,را,O
24862,زبان,O
24863,واحد,O
24864,انتخاب,O
24865,کنند,O
24866,ولی,O
24867,در,O
24868,بررسی,O
24869,بیشتر,O
24870,می‌توان,O
24871,به,O
24872,این,O
24873,موضوع,O
24874,اشاره,O
24875,کرد,O
24876,که,O
24877,از,O
24878,لحاظ,O
24879,ساختاری,O
24880,،,O
24881,زبان,O
24882,انگلیسی,O
24883,زبانی,O
24884,بسیار,O
24885,ساده,O
24886,است,O
24887,.,O
24888,زبان‌هایی,O
24889,مانند,O
24890,زبان,O
24891,اسپرانتو,O
24892,مختصا,O
24893,برای,O
24894,ارتباط,O
24895,بین‌المللی,O
24896,طراحی,O
24897,شده‌اند,O
24898,.,O
24899,در,O
24900,خاورمیانه,B-LOC
24901,سیبویه,B-PER
24902,زبانشناس,O
24903,برجسته,O
24904,ایرانی,O
24905,،,O
24906,اواخر,O
24907,عمرش,O
24908,توصیفی,O
24909,جامع,O
24910,و,O
24911,زبان,O
24912,شناسانه,O
24913,از,O
24914,زبان,O
24915,عربی,O
24916,در,O
24917,شاهکار,O
24918,خود,O
24919,بهنام,O
24920,(,O
24921,دستورنامه,O
24922,به,O
24923,دست,O
24924,داد,O
24925,.,O
24926,در,O
24927,غرب,O
24928,،,O
24929,پیشرفت,O
24930,دانش,O
24931,ریاضیات,O
24932,و,O
24933,دیگر,O
24934,سیستم‌های,O
24935,مشخص,O
24936,در,B-DAT
24937,سده,I-DAT
24938,بیستم,I-DAT
24939,میلادی,I-DAT
24940,منجر,O
24941,به,O
24942,کوشش,O
24943,دانشوران,O
24944,در,O
24945,مطالعه,O
24946,علمی,O
24947,زبان,O
24948,به,O
24949,عنوان,O
24950,یک,O
24951,نشانه,O
24952,معنایی,O
24953,شد,O
24954,.,O
24955,این,O
24956,کوشش‌ها,O
24957,به,O
24958,پیدایش,O
24959,رشته‌ای,O
24960,از,O
24961,دانش,O
24962,بهنام,O
24963,زبانشناسی,O
24964,انجامید,O
24965,که,O
24966,بنیان‌گذار,O
24967,آن,O
24968,فردینان,B-PER
24969,دو,I-PER
24970,سوسور,I-PER
24971,است,O
24972,.,O
24973,نوام,B-PER
24974,چامسکی,I-PER
24975,از,O
24976,زبان‌شناسانی,O
24977,است,O
24978,که,O
24979,نظریاتش,O
24980,انقلابی,O
24981,در,O
24982,این,O
24983,رشته,O
24984,به,O
24985,وجود,O
24986,آوردند,O
24987,.,O
24988,سایر,O
24989,زبان‌های,O
24990,فراساخته,O
24991,به,O
24992,گونه‌ای,O
24993,ایجاد,O
24994,شده‌اند,O
24995,که,O
24996,منطقی‌تر,O
24997,از,O
24998,زبان‌های,O
24999,طبیعی,O
25000,باشند,O
25001,از,O
25002,نمونه‌های,O
25003,مشهور,O
25004,این,O
25005,زبان‌ها,O
25006,زبان,O
25007,لژبن,O
25008,Lojban,O
25009,),O
25010,است,O
25011,.,O
25012,برخی,O
25013,از,O
25014,نویسندگان,O
25015,،,O
25016,از‌جمله,O
25017,تالکین,B-PER
25018,با,O
25019,هدف‌هایی,O
25020,چون,O
25021,ادبیات,O
25022,،,O
25023,هنر,O
25024,یا,O
25025,دلایل,O
25026,شخصی,O
25027,زبان‌های,O
25028,تفننی,O
25029,آفریده‌اند,O
25030,.,O
25031,این,O
25032,زبان,O
25033,توسط,O
25034,دکتر,O
25035,لودویک,B-PER
25036,لازاروس,I-PER
25037,زامنهوف,I-PER
25038,ساخته,O
25039,شد,O
25040,.,O
25041,اسپرانتو,O
25042,به,O
25043,علت,O
25044,ساختار,O
25045,علمی,O
25046,و,O
25047,آسان,O
25048,خود,O
25049,مورد,O
25050,توجه,O
25051,متفکران,O
25052,و,O
25053,دانشمندان,O
25054,با,O
25055,ملیت‌های,O
25056,گوناگون,O
25057,قرار‌گرفته,O
25058,و,O
25059,به,O
25060,خاطر,O
25061,ویژگی‌های,O
25062,منحصربه‌فرد,O
25063,آن,O
25064,،,O
25065,سازمان,O
25066,علمی,O
25067,،,O
25068,فرهنگی,O
25069,و,O
25070,تربیتی,O
25071,سازمان,B-ORG
25072,ملل,I-ORG
25073,متحد,B-ORG
25074,(,O
25075,یونسکو,O
25076,),O
25077,در,B-DAT
25078,سال,I-DAT
25079,۱۹۵۴,I-DAT
25080,(,O
25081,میلادی,B-DAT
25082,),O
25083,به,O
25084,اتفاق,O
25085,آرا,O
25086,آن,O
25087,را,O
25088,به,O
25089,عنوان,O
25090,زبان,O
25091,بین‌المللی,O
25092,و,O
25093,بی‌طرف,O
25094,به,O
25095,رسمیت,O
25096,شناخت,O
25097,و,O
25098,آموزش,O
25099,اسپرانتو,O
25100,را,O
25101,به,O
25102,تمامی,O
25103,کشورهای,O
25104,عضو,O
25105,خود,O
25106,توصیه,O
25107,کرد,O
25108,.,O
25109,اخترشناسان,O
25110,در,O
25111,تمدن‌های,O
25112,اولیه,O
25113,بشری,O
25114,به‌دقت,O
25115,آسمان,O
25116,شب,B-DAT
25117,را,O
25118,بررسی,O
25119,می‌کردند,O
25120,و,O
25121,ابزارهای,O
25122,ساده,O
25123,اخترشناسی,O
25124,از,O
25125,همان,O
25126,ابتدا,O
25127,شناخته‌شده,O
25128,بودند,O
25129,.,O
25130,در,B-DAT
25131,قرن,I-DAT
25132,بیستم,I-DAT
25133,،,O
25134,رشته,O
25135,اخترشناسی,O
25136,به,O
25137,دو,O
25138,رشته,O
25139,اخترشناسی,O
25140,رصدی,O
25141,و,O
25142,اخترشناسی,O
25143,نظری,O
25144,تبدیل,O
25145,شد,O
25146,.,O
25147,در,B-DAT
25148,طول,I-DAT
25149,تاریخ,I-DAT
25150,،,O
25151,اخترشناسی,O
25152,آماتوری,O
25153,در,O
25154,بسیاری,O
25155,از,O
25156,کشف‌های,O
25157,مهم,O
25158,اخترشناسی,O
25159,نقش,O
25160,داشته‌اند,O
25161,و,O
25162,اخترشناسی,O
25163,یکی,O
25164,از,O
25165,محدود,O
25166,رشته‌هایی,O
25167,است,O
25168,که,O
25169,در,O
25170,آن,O
25171,افراد,O
25172,آماتور,O
25173,نقشی,O
25174,بسیار,O
25175,فعال,O
25176,دارند,O
25177,و,O
25178,مخصوصا,O
25179,در,O
25180,کشف,O
25181,و,O
25182,مشاهده,O
25183,پدیده‌های,O
25184,گذرا,O
25185,و,O
25186,محلی,O
25187,امیدوارکننده,O
25188,،,O
25189,ظاهر,O
25190,شده‌اند,O
25191,.,O
25192,درحدود,O
25193,صد,B-DAT
25194,و,I-DAT
25195,پنجاه,I-DAT
25196,سال,I-DAT
25197,پیش,O
25198,از,O
25199,میلاد,O
25200,،,O
25201,ابرخس,O
25202,۱۹۰,O
25203,تا,O
25204,۱۲۰,O
25205,پیش,O
25206,از,O
25207,میلاد,O
25208,)،,O
25209,فاصله,O
25210,زمین,O
25211,تا,O
25212,ماه,O
25213,را,O
25214,برحسب,O
25215,قطر,O
25216,زمین,O
25217,به‌دست‌آورد,O
25218,.,O
25219,او,O
25220,روشی,O
25221,را,O
25222,به‌کار,O
25223,برد,O
25224,که,O
25225,یک,B-DAT
25226,قرن,I-DAT
25227,پیش,O
25228,از,O
25229,او,O
25230,،,O
25231,جسورترین,O
25232,اخترشناس,O
25233,یونانی,O
25234,،,O
25235,آریستارخوس,B-PER
25236,پیشنهاد,O
25237,داده‌بود,O
25238,.,O
25239,نفوذ,O
25240,و,O
25241,سلطه,O
25242,این,O
25243,نظریه,O
25244,تا,B-DAT
25245,سال,I-DAT
25246,۱۵۴۳,I-DAT
25247,،,O
25248,یعنی,O
25249,تازمانی‌که,O
25250,کپرنیک,B-PER
25251,کتاب,O
25252,خود,O
25253,را,O
25254,منتشر,O
25255,کرد,O
25256,و,O
25257,با,O
25258,پذیرش,O
25259,عقیده,O
25260,آریستارخوس,O
25261,،,O
25262,زمین,O
25263,را,O
25264,برای,O
25265,همیشه,O
25266,از,O
25267,مرکز,O
25268,جهان,O
25269,بودن,O
25270,بیرون,O
25271,راند,O
25272,،,O
25273,حاکم,O
25274,بود,O
25275,.,O
25276,این,O
25277,فاصله,O
25278,میانگین,O
25279,را,O
25280,واحد,B-ORG
25281,نجومی,I-ORG
25282,با,O
25283,علامت,O
25284,اختصاری,O
25285,A.U,O
25286,),O
25287,می‌نامند,O
25288,و,O
25289,فاصله‌های,O
25290,دیگر,O
25291,منظومه,O
25292,خورشیدی,O
25293,را,O
25294,با,O
25295,این,O
25296,واحد,O
25297,می‌سنجند,O
25298,.,O
25299,مثلا,O
25300,با,O
25301,چشم,O
25302,غیرمسلح,O
25303,تقریبا,O
25304,می‌توانیم,O
25305,در,O
25306,حدود,O
25307,۶,O
25308,هزار,O
25309,ستاره,O
25310,را,O
25311,ببینیم,O
25312,،,O
25313,اما,O
25314,اختراع,O
25315,تلسکوپ,O
25316,ناگهان,O
25317,آشکار,O
25318,کرد,O
25319,که,O
25320,این,O
25321,فقط,O
25322,جزئی,O
25323,از,O
25324,جهان,B-LOC
25325,است,O
25326,.,O
25327,از‌جمله,O
25328,دانشمندانی,O
25329,که,O
25330,نسبت,O
25331,به,O
25332,ارائه,O
25333,این,O
25334,نظریه‌ها,O
25335,اقدام,O
25336,کردند,O
25337,می‌توان,O
25338,به,O
25339,ویلیام,B-PER
25340,هرشل,I-PER
25341,ستاره‌شناس,O
25342,آلمانی‌تبار,O
25343,انگلیسی,O
25344,،,O
25345,یاکوبوس,O
25346,کورنلیس,O
25347,کاپیتن,O
25348,اخترشناس,O
25349,هلندی,O
25350,،,O
25351,شارل,B-PER
25352,مسیه,I-PER
25353,و,O
25354,ادوین,B-PER
25355,هابل,I-PER
25356,و,O
25357,اشاره,O
25358,کرد,O
25359,.,O
25360,بر,O
25361,اساس,O
25362,مقیاس,O
25363,جدید,O
25364,فاصله‌ها,O
25365,،,O
25366,سن,O
25367,زمین,O
25368,حداقل,O
25369,۵,B-DAT
25370,میلیارد,I-DAT
25371,سال,I-DAT
25372,است,O
25373,و,O
25374,این,O
25375,حد,O
25376,با,O
25377,حدسیات,O
25378,زمین,O
25379,شناسان,O
25380,در,O
25381,مورد,O
25382,سن,O
25383,زمین,O
25384,مطابقت,O
25385,دارد,O
25386,.,O
25387,همچنین,O
25388,تلسکوپ‌های,O
25389,جدید,O
25390,وجود,O
25391,خوشه‌های,B-ORG
25392,کهکشانی,I-ORG
25393,را,O
25394,نشان,O
25395,می‌دهد,O
25396,کهکشان,O
25397,ما,O
25398,نیز,O
25399,ظاهرا,O
25400,جزئی,O
25401,از,O
25402,یک,O
25403,خوشه,O
25404,محلی,O
25405,است,O
25406,که,O
25407,شامل,O
25408,ابرهای,O
25409,ماژلان,O
25410,،,O
25411,کهکشان,O
25412,امراه,O
25413,المسلسله,O
25414,و,O
25415,سه‌ها,O
25416,،,O
25417,کهکشان,O
25418,کوچک,O
25419,نزدیک,O
25420,آن,O
25421,و,O
25422,چند,O
25423,کهکشان,O
25424,کوچک,O
25425,دیگر,O
25426,هست,O
25427,که,O
25428,روی‌هم‌رفته,O
25429,نوزده,O
25430,عضو,O
25431,را,O
25432,تشکیل,O
25433,می‌دهند,O
25434,.,O
25435,در‌هر‌حال,O
25436,،,O
25437,دانشمندان,O
25438,با,O
25439,وجود,O
25440,اینکه,O
25441,با,O
25442,تخمین,O
25443,می‌توانند,O
25444,تا,O
25445,فاصله,O
25446,۹,B-DAT
25447,میلیارد,I-DAT
25448,سال,I-DAT
25449,نوری,O
25450,،,O
25451,چیزهایی,O
25452,را,O
25453,تشخیص,O
25454,دهند,O
25455,،,O
25456,ولی,O
25457,هنوز,O
25458,هم,O
25459,نشانه‌ای,O
25460,از,O
25461,پایان,O
25462,جهان,O
25463,پیدا,O
25464,نکرده‌اند,O
25465,.,O
25466,طی,O
25467,دوران,O
25468,رنسانس,O
25469,نیکلاس,B-PER
25470,کوپرنیک,I-PER
25471,مدل,O
25472,خورشید,O
25473,محوری,O
25474,را,O
25475,برای,O
25476,سامانه,O
25477,خورشیدی,O
25478,منظومه,O
25479,شمسی,O
25480,),O
25481,پیشنهاد,O
25482,کرد,O
25483,.,O
25484,گالیلئو,B-PER
25485,گالیله,I-PER
25486,و,O
25487,یوهانس,B-PER
25488,کپلر,I-PER
25489,پیشنهاد,O
25490,وی,O
25491,را,O
25492,بسط,O
25493,داده,O
25494,و,O
25495,آن,O
25496,را,O
25497,اصلاح,O
25498,کردند,O
25499,.,O
25500,در‌نهایت,O
25501,ایزاک,B-PER
25502,نیوتن,I-PER
25503,با,O
25504,ارائه,O
25505,مکانیک,O
25506,سماوی,O
25507,و,O
25508,قانون,O
25509,جهانی,O
25510,گرانش,O
25511,نیوتن,O
25512,حرکت,O
25513,سیاره‌ها,O
25514,را,O
25515,توصیف,O
25516,کرد,O
25517,.,O
25518,ویلیام,B-PER
25519,هرشل,I-PER
25520,نقشه,O
25521,گسترده‌ای,O
25522,از,O
25523,خوشه‌های,O
25524,سماوی,O
25525,و,O
25526,تهیه,O
25527,کرد,O
25528,و,O
25529,در,B-DAT
25530,سال,I-DAT
25531,۱۷۸۱,I-DAT
25532,توانست,O
25533,سیاره,O
25534,اورانوس,O
25535,را,O
25536,کشف,O
25537,کند,O
25538,که,O
25539,اولین,O
25540,سیاره,O
25541,کشف‌شده,O
25542,توسط,O
25543,انسان,O
25544,محسوب,O
25545,می‌شود,O
25546,.,O
25547,در,B-DAT
25548,سال,I-DAT
25549,۱۸۳۷,I-DAT
25550,برای,O
25551,اولین,O
25552,بار,O
25553,فردریش,O
25554,بسل,O
25555,فاصله,O
25556,۶۱,O
25557,ماکیان,O
25558,را,O
25559,مشخص,O
25560,کرد,O
25561,.,O
25562,در,B-DAT
25563,قرن,I-DAT
25564,هجدهم,I-DAT
25565,و,I-DAT
25566,نوزدهم,I-DAT
25567,میلادی,I-DAT
25568,،,O
25569,توجه,O
25570,دانشمندانی,O
25571,چون,O
25572,لئونارد,B-PER
25573,اویلر,I-PER
25574,الکسیس,B-PER
25575,کلاد,O
25576,کلایرات,O
25577,و,O
25578,ژان,B-PER
25579,لو,I-PER
25580,رون,I-PER
25581,دالامبر,I-PER
25582,به,O
25583,مسئله,O
25584,سه,O
25585,جسمی,O
25586,باعث,O
25587,شد,O
25588,پیش,O
25589,بینی‌های,O
25590,دقیق‌تری,O
25591,در,O
25592,مورد,O
25593,حرکت,O
25594,ماه,O
25595,و,O
25596,ستارگان,O
25597,انجام,O
25598,شود,O
25599,.,O
25600,ژوزف,B-PER
25601,لویی,I-PER
25602,لاگرانژ,I-PER
25603,و,O
25604,پیر,B-PER
25605,سیمون,I-PER
25606,لاپلاس,I-PER
25607,این,O
25608,کار,O
25609,را,O
25610,تکمیل,O
25611,کردند,O
25612,و,O
25613,میزان,O
25614,انحراف,O
25615,اقمار,O
25616,و,O
25617,سیاره‌ها,O
25618,از,O
25619,وضعیت,O
25620,اصلی‌شان,O
25621,را,O
25622,تخمین,O
25623,زدند,O
25624,.,O
25625,قرار,O
25626,داشتن,O
25627,زمین,O
25628,در,O
25629,کهکشان,O
25630,راه‌شیری,O
25631,به,O
25632,عنوان,O
25633,مجموعه‌ای,O
25634,از,O
25635,ستاره‌ها,O
25636,و,O
25637,سیاره‌ها,O
25638,،,O
25639,در,B-DAT
25640,قرن,I-DAT
25641,بیستم,I-DAT
25642,کشف,O
25643,گردید,O
25644,و,O
25645,هم‌زمان,O
25646,وجود,O
25647,دیگر,O
25648,کهکشان‌های,O
25649,خارجی,O
25650,در,O
25651,فضا,O
25652,تایید,O
25653,شد,O
25654,و,O
25655,بلافاصله,O
25656,پدیده,O
25657,انبساط,O
25658,جهان,O
25659,عامل,O
25660,اصلی,O
25661,وجود,O
25662,فاصله,O
25663,زیاد,O
25664,بین,O
25665,زمین,O
25666,و,O
25667,دیگر,O
25668,کهکشان‌ها,O
25669,اعلام,O
25670,شد,O
25671,.,O
25672,کیهان‌شناسی,O
25673,فیزیکی,O
25674,در,B-DAT
25675,طی,I-DAT
25676,قرن,I-DAT
25677,۲۰,I-DAT
25678,میلادی,I-DAT
25679,پیشرفت‌های,O
25680,زیادی,O
25681,را,O
25682,تجربه,O
25683,کرد,O
25684,و,O
25685,نظریه,O
25686,مهبانگ,O
25687,بیگ,B-PER
25688,بنگ,I-PER
25689,یا,O
25690,انفجار,O
25691,بزرگ,O
25692,),O
25693,براساس,O
25694,شواهد,O
25695,کشف‌شده,O
25696,در,O
25697,علوم,O
25698,اخترشناسی,O
25699,و,O
25700,فیزیک,O
25701,مانند,O
25702,تابش,O
25703,زمینه,O
25704,کیهانی,O
25705,قانون,O
25706,هابل,O
25707,و,O
25708,هسته‌زایی,O
25709,مه‌بانگ,O
25710,قوت,O
25711,یافت,O
25712,.,O
25713,بعدها,O
25714,،,O
25715,تلاش‌های,O
25716,اخترشناس,O
25717,چون,O
25718,آیزاک,B-PER
25719,نیوتن,I-PER
25720,و,O
25721,یوهانس,B-PER
25722,کپلر,I-PER
25723,علم,O
25724,مکانیک,O
25725,سماوی,O
25726,را,O
25727,پدیدآورد,O
25728,و,O
25729,اخترسنجی,O
25730,بر,O
25731,پیش‌بینی,O
25732,حرکت,O
25733,آن,O
25734,دسته,O
25735,از,O
25736,اجرام,O
25737,سماوی,O
25738,که,O
25739,میانشان,O
25740,نیروی,O
25741,جاذبه,O
25742,گرانشی,O
25743,وجود,O
25744,داشت,O
25745,تمرکز,O
25746,یافت,O
25747,.,O
25748,در,B-DAT
25749,طول,I-DAT
25750,تاریخ,I-DAT
25751,،,O
25752,اغلب,O
25753,داده‌های,O
25754,اخترشناسی,O
25755,با,O
25756,استفاده,O
25757,از,O
25758,اخترشناسی,O
25759,نور,O
25760,تهیه,O
25761,شده‌اند,O
25762,.,O
25763,در,O
25764,اخترشناسی,O
25765,نور,O
25766,،,O
25767,با,O
25768,استفاده,O
25769,از,O
25770,عناصر,O
25771,نوری,O
25772,(,O
25773,مانند,O
25774,آینه,O
25775,،,O
25776,عدسی,O
25777,،,O
25778,آشکارسازهای,O
25779,CCD,O
25780,و,O
25781,فیلم‌های,O
25782,عکاسی,O
25783,),O
25784,طول,O
25785,موج‌های,O
25786,نور,B-LOC
25787,را,O
25788,در,O
25789,محدوده,O
25790,فروسرخ,O
25791,تا,O
25792,فرابنفش,O
25793,بررسی,O
25794,می‌کنیم,O
25795,.,O
25796,همواره,O
25797,در,B-DAT
25798,طول,I-DAT
25799,تاریخ,I-DAT
25800,،,O
25801,درک,O
25802,مناسب,O
25803,از,O
25804,موقعیت,O
25805,خورشید,O
25806,،,O
25807,ماه,O
25808,،,O
25809,ستارگان,O
25810,و,O
25811,سیارات,O
25812,در,O
25813,تعیین,O
25814,موقعیت,O
25815,افراد,O
25816,بر‌روی,O
25817,زمین,O
25818,(,O
25819,ملوانان,O
25820,و,O
25821,کشتی‌ها,O
25822,),O
25823,نقش,O
25824,داشته‌است,O
25825,.,O
25826,اندازه‌گیری,O
25827,سرعت,O
25828,زاویه‌ای,O
25829,ستاره‌های,O
25830,مجاور,O
25831,عامل,O
25832,مهمی,B-DAT
25833,در,O
25834,آگاهی,O
25835,از,O
25836,ویژگی‌های,O
25837,ستاره‌های,O
25838,دور,O
25839,محسوب,O
25840,می‌شود,O
25841,چرا,O
25842,که,O
25843,این,O
25844,ویژگی‌ها,O
25845,قابل‌مقایسه,O
25846,هستند,O
25847,.,O
25848,در,B-DAT
25849,دهه,I-DAT
25850,۱۹۹۰,I-DAT
25851,(,O
25852,میلادی,B-DAT
25853,),O
25854,روش,O
25855,اخترشناسی,O
25856,که,O
25857,در,O
25858,محاسبه,O
25859,تکانه‌های,O
25860,ستارگان,O
25861,به‌کار,O
25862,می‌رفت,O
25863,باعث,O
25864,کشف,O
25865,سیاره‌هایی,O
25866,از,O
25867,خارج,O
25868,از,O
25869,منظومه,O
25870,شمسی,O
25871,شد,O
25872,که,O
25873,به,O
25874,دور,O
25875,خورشید,O
25876,گردش,O
25877,می‌کنند,O
25878,.,O
25879,نسبیت,O
25880,عام,O
25881,در,O
25882,اخترفیزیک,O
25883,به,O
25884,عنوان,O
25885,ابزاری,O
25886,برای,O
25887,سنجش,O
25888,خصوصیات,O
25889,ساختارهای,O
25890,بزرگ,O
25891,مقیاس,O
25892,(,O
25893,که,O
25894,در,O
25895,آن‌ها,O
25896,گرانش,O
25897,نقش,O
25898,مهمی,B-DAT
25899,در,O
25900,ایجاد,O
25901,پدیده‌های,O
25902,فیزیکی,O
25903,دارد,O
25904,),O
25905,به‌کار,O
25906,می‌رود,O
25907,.,O
25908,خورشید,O
25909,یک,O
25910,ستاره,O
25911,کوتوله,O
25912,رشته,O
25913,اصلی,O
25914,از,O
25915,ستاره,O
25916,نوع,O
25917,جی,O
25918,رشته,O
25919,اصلی,O
25920,است,O
25921,و,O
25922,حدود,O
25923,۶/۴,O
25924,میلیارد,B-DAT
25925,سال,I-DAT
25926,عمر,O
25927,دارد,O
25928,.,O
25929,در,O
25930,این,O
25931,چرخه,O
25932,،,O
25933,در,O
25934,هر,O
25935,۱۱,B-DAT
25936,سال,I-DAT
25937,در,O
25938,تعداد,O
25939,لکه,O
25940,خورشیدی,O
25941,نوساناتی,O
25942,رخ,O
25943,می‌دهد,O
25944,.,O
25945,سیارات,O
25946,۴,B-DAT
25947,۶,I-DAT
25948,میلیارد,I-DAT
25949,سال,I-DAT
25950,پیش,O
25951,،,O
25952,در,O
25953,قرص,O
25954,پیش,O
25955,سیاره‌ای,O
25956,که,O
25957,خورشید,O
25958,اولیه,O
25959,را,O
25960,احاطه,O
25961,کرده,O
25962,بود,O
25963,،,O
25964,تشکیل,O
25965,شدند,O
25966,.,O
25967,برخی,O
25968,از,O
25969,هسته‌های,O
25970,سیارات,O
25971,میدان,B-LOC
25972,مغناطیسی,I-LOC
25973,خاص,O
25974,خود,O
25975,را,O
25976,تولید,O
25977,می‌کنند,O
25978,که,O
25979,می‌تواند,O
25980,مانع,O
25981,از,O
25982,دست,O
25983,رفتن,O
